jour_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;Numero;devise;
Mercredi;24/06/2015;midi;24/08/2015;5 797 769;eur;
Mardi   ;23/06/2015;soir;23/08/2015;1 923 731;eur;
Mardi   ;23/06/2015;midi;23/08/2015;3 964 797;eur;
Lundi   ;22/06/2015;soir;22/08/2015;0 780 515;eur;
Lundi   ;22/06/2015;midi;22/08/2015;1 027 383;eur;
Dimanche;21/06/2015;soir;21/08/2015;3 426 052;eur;
Dimanche;21/06/2015;midi;21/08/2015;4 468 963;eur;
Samedi  ;20/06/2015;soir;20/08/2015;9 092 376;eur;
Samedi  ;20/06/2015;midi;20/08/2015;5 234 139;eur;
Vendredi;19/06/2015;soir;19/08/2015;5 989 460;eur;
Vendredi;19/06/2015;midi;19/08/2015;0 699 030;eur;
Jeudi   ;18/06/2015;soir;18/08/2015;4 359 728;eur;
Jeudi   ;18/06/2015;midi;18/08/2015;0 961 228;eur;
Mercredi;17/06/2015;soir;17/08/2015;5 490 199;eur;
Mercredi;17/06/2015;midi;17/08/2015;0 476 554;eur;
Mardi   ;16/06/2015;soir;16/08/2015;6 963 327;eur;
Mardi   ;16/06/2015;midi;16/08/2015;6 425 912;eur;
Lundi   ;15/06/2015;soir;15/08/2015;8 006 452;eur;
Lundi   ;15/06/2015;midi;15/08/2015;1 344 973;eur;
Dimanche;14/06/2015;soir;14/08/2015;3 902 677;eur;
Dimanche;14/06/2015;midi;14/08/2015;2 717 312;eur;
Samedi  ;13/06/2015;soir;13/08/2015;3 243 626;eur;
Samedi  ;13/06/2015;midi;13/08/2015;4 328 347;eur;
Vendredi;12/06/2015;soir;12/08/2015;4 052 506;eur;
Vendredi;12/06/2015;midi;12/08/2015;9 085 687;eur;
Jeudi   ;11/06/2015;soir;11/08/2015;0 717 465;eur;
Jeudi   ;11/06/2015;midi;11/08/2015;8 548 433;eur;
Mercredi;10/06/2015;soir;10/08/2015;9 220 785;eur;
Mercredi;10/06/2015;midi;10/08/2015;1 168 912;eur;
Mardi   ;09/06/2015;soir;09/08/2015;2 722 353;eur;
Mardi   ;09/06/2015;midi;09/08/2015;2 623 115;eur;
Lundi   ;08/06/2015;soir;08/08/2015;5 260 902;eur;
Lundi   ;08/06/2015;midi;08/08/2015;5 409 436;eur;
Dimanche;07/06/2015;soir;07/08/2015;1 706 945;eur;
Dimanche;07/06/2015;midi;07/08/2015;2 345 388;eur;
Samedi  ;06/06/2015;soir;06/08/2015;2 176 617;eur;
Samedi  ;06/06/2015;midi;06/08/2015;5 198 678;eur;
Vendredi;05/06/2015;soir;05/08/2015;6 716 637;eur;
Vendredi;05/06/2015;midi;05/08/2015;2 280 665;eur;
Jeudi   ;04/06/2015;soir;04/08/2015;2 191 556;eur;
Jeudi   ;04/06/2015;midi;04/08/2015;2 951 773;eur;
Mercredi;03/06/2015;soir;03/08/2015;4 167 228;eur;
Mercredi;03/06/2015;midi;03/08/2015;2 570 609;eur;
Mardi   ;02/06/2015;soir;02/08/2015;5 289 069;eur;
Mardi   ;02/06/2015;midi;02/08/2015;6 137 421;eur;
Lundi   ;01/06/2015;soir;01/08/2015;3 178 303;eur;
Lundi   ;01/06/2015;midi;01/08/2015;2 415 461;eur;
Dimanche;31/05/2015;soir;31/07/2015;7 387 554;eur;
Dimanche;31/05/2015;midi;31/07/2015;8 269 414;eur;
Samedi  ;30/05/2015;soir;30/07/2015;6 435 104;eur;
Samedi  ;30/05/2015;midi;30/07/2015;7 530 019;eur;
Vendredi;29/05/2015;soir;29/07/2015;5 858 689;eur;
Vendredi;29/05/2015;midi;29/07/2015;9 878 312;eur;
Jeudi   ;28/05/2015;soir;28/07/2015;8 370 566;eur;
Jeudi   ;28/05/2015;midi;28/07/2015;6 873 911;eur;
Mercredi;27/05/2015;soir;27/07/2015;7 518 358;eur;
Mercredi;27/05/2015;midi;27/07/2015;6 353 781;eur;
Mardi   ;26/05/2015;soir;26/07/2015;0 097 081;eur;
Mardi   ;26/05/2015;midi;26/07/2015;8 162 318;eur;
Lundi   ;25/05/2015;soir;25/07/2015;2 626 239;eur;
Lundi   ;25/05/2015;midi;25/07/2015;9 205 967;eur;
Dimanche;24/05/2015;soir;24/07/2015;8 238 485;eur;
Dimanche;24/05/2015;midi;24/07/2015;1 567 018;eur;
Samedi  ;23/05/2015;soir;23/07/2015;3 922 180;eur;
Samedi  ;23/05/2015;midi;23/07/2015;6 684 263;eur;
Vendredi;22/05/2015;soir;22/07/2015;6 350 509;eur;
Vendredi;22/05/2015;midi;22/07/2015;9 591 288;eur;
Jeudi   ;21/05/2015;soir;21/07/2015;7 239 377;eur;
Jeudi   ;21/05/2015;midi;21/07/2015;1 901 474;eur;
Mercredi;20/05/2015;soir;20/07/2015;9 467 261;eur;
